city,name,price,quality_price,rating,stars,url,id
Riviera Maya,HOTEL MUARE TULUM - Updated 2022 Prices &  Reviews,,4.0,5.0,,https://www.tripadvisor.com/Hotel_Review-g150813-d23863082-Reviews-Hotel_Muare_Tulum-Tulum_Yucatan_Peninsula.html,38
Riviera Maya,LA SELVA MARIPOSA - Prices &  B&B Reviews,1077.0,4.8,5.0,,https://www.tripadvisor.com/Hotel_Review-g150813-d646906-Reviews-La_Selva_Mariposa-Tulum_Yucatan_Peninsula.html,39
Riviera Maya,ORCHID HOUSE TULUM ,4163.0,3.8,4.0,,https://www.tripadvisor.com/Hotel_Review-g150813-d17535211-Reviews-Orchid_House_Tulum-Tulum_Yucatan_Peninsula.html,40
Riviera Maya,NNAM TULUM ,705.0,5.0,4.0,3.0,https://www.tripadvisor.com/Hotel_Review-g150813-d17387560-Reviews-Nnam_Tulum-Tulum_Yucatan_Peninsula.html,41
Riviera Maya,IKAL TULUM BOUTIQUE HOTEL ,2742.0,2.7,3.0,,https://www.tripadvisor.com/Hotel_Review-g150813-d17409879-Reviews-Ikal_Tulum_Boutique_Hotel-Tulum_Yucatan_Peninsula.html,42
Riviera Maya,VILLA LAS ESTRELLAS ,,4.1,4.5,4.0,https://www.tripadvisor.com/Hotel_Review-g150813-d1896427-Reviews-Villa_Las_Estrellas-Tulum_Yucatan_Peninsula.html,43
Riviera Maya,HOTEL HOLISTIKA - Prices &  Reviews,,3.5,4.5,3.0,https://www.tripadvisor.com/Hotel_Review-g150813-d13554233-Reviews-Hotel_Holistika-Tulum_Yucatan_Peninsula.html,44
Riviera Maya,THE WAVES TULUM ,,5.0,5.0,,https://www.tripadvisor.com/Hotel_Review-g150813-d23418755-Reviews-The_Waves_Tulum-Tulum_Yucatan_Peninsula.html,45
Riviera Maya,DOWNTOWN TULUM HOTEL ,,1.0,4.0,3.0,https://www.tripadvisor.com/Hotel_Review-g150813-d23310818-Reviews-Downtown_Tulum_Hotel-Tulum_Yucatan_Peninsula.html,46
Riviera Maya,HOTEL ZULUM ,1553.0,3.1,3.5,3.0,https://www.tripadvisor.com/Hotel_Review-g150813-d677625-Reviews-Hotel_Zulum-Tulum_Yucatan_Peninsula.html,47
Isla Mujeres,SU CASA BEACH COTTAGES - Prices &  Cottage Reviews,,4.0,4.0,,https://www.tripadvisor.com/Hotel_Review-g150810-d647602-Reviews-Su_Casa_Beach_Cottages-Isla_Mujeres_Yucatan_Peninsula.html,48
Riviera Maya,"O""TULUM ADULTS ONLY ",,4.5,4.5,4.0,https://www.tripadvisor.com/Hotel_Review-g150813-d11917109-Reviews-O_Tulum_Adults_Only-Tulum_Yucatan_Peninsula.html,49
Isla Mujeres,IKAL ISLAND GARDEN -  Lodging Reviews,,5.0,5.0,,https://www.tripadvisor.com/Hotel_Review-g150810-d15616802-Reviews-Ikal_Island_Garden-Isla_Mujeres_Yucatan_Peninsula.html,50
Isla Mujeres,ISLA 33 RESORT & VILLAS -  Hotel Reviews,,4.0,4.0,3.5,https://www.tripadvisor.com/Hotel_Review-g150810-d8132197-Reviews-Isla_33_Resort_Villas-Isla_Mujeres_Yucatan_Peninsula.html,51
Isla Mujeres,CASA CURAL ISLA -  Hotel Reviews,,4.7,4.0,,https://www.tripadvisor.com/Hotel_Review-g150810-d12445891-Reviews-Casa_Cural_Isla-Isla_Mujeres_Yucatan_Peninsula.html,52
Isla Mujeres,MAYA CASITAS -  Specialty Inn Reviews,,3.8,4.5,,https://www.tripadvisor.com/Hotel_Review-g150810-d10223147-Reviews-Maya_Casitas-Isla_Mujeres_Yucatan_Peninsula.html,53
Isla Mujeres,CAPITAL O CHAC CHI HOTEL & SUITES - Prices &  Reviews,,4.5,4.0,,https://www.tripadvisor.com/Hotel_Review-g150810-d1205805-Reviews-Capital_O_Chac_Chi_Hotel_Suites-Isla_Mujeres_Yucatan_Peninsula.html,54
Isla Mujeres,PUERTA AL MAR -  Condominium Reviews,,4.5,5.0,5.0,https://www.tripadvisor.com/Hotel_Review-g150810-d1055152-Reviews-Puerta_al_Mar-Isla_Mujeres_Yucatan_Peninsula.html,55
Isla Mujeres,SEA HAWK - Prices &  B&B Reviews,,4.6,4.5,,https://www.tripadvisor.com/Hotel_Review-g150810-d677496-Reviews-Sea_Hawk-Isla_Mujeres_Yucatan_Peninsula.html,56
Isla Mujeres,CASA IXCHEL - Prices &  Hotel Reviews,,4.0,4.0,,https://www.tripadvisor.com/Hotel_Review-g150810-d585011-Reviews-Casa_Ixchel-Isla_Mujeres_Yucatan_Peninsula.html,57
Isla Mujeres,LUNA D' MIEL -  Condominium Reviews,,4.6,4.5,2.0,https://www.tripadvisor.com/Hotel_Review-g150810-d594099-Reviews-Luna_d_Miel-Isla_Mujeres_Yucatan_Peninsula.html,58
Isla Mujeres,CASA BONITA AND VILLAS - Prices &  Kashi Besso Reviews,,4.5,4.5,,https://www.tripadvisor.com/Hotel_Review-g150810-d1211529-Reviews-Casa_Bonita_and_Villas-Isla_Mujeres_Yucatan_Peninsula.html,59
Riviera Maya,NEST TULUM - Updated 2022 Prices &  Hotel Reviews,,4.6,5.0,,https://www.tripadvisor.com/Hotel_Review-g150813-d9998322-Reviews-NEST_Tulum-Tulum_Yucatan_Peninsula.html,60
Riviera Maya,LATINO HOTEL BOUTIQUE ,1341.0,4.4,4.5,3.0,https://www.tripadvisor.com/Hotel_Review-g150813-d559771-Reviews-Latino_Hotel_Boutique-Tulum_Yucatan_Peninsula.html,61
Riviera Maya,SANARA TULUM - Updated 2022 Prices &  Hotel Reviews,,4.1,4.5,3.0,https://www.tripadvisor.com/Hotel_Review-g150813-d7223463-Reviews-Sanara_Tulum-Tulum_Yucatan_Peninsula.html,62
Riviera Maya,CENOTE CASA TORTUGA TULUM ,,4.5,4.5,,https://www.tripadvisor.com/Hotel_Review-g150813-d15058506-Reviews-Cenote_Casa_Tortuga_Tulum-Tulum_Yucatan_Peninsula.html,63
Riviera Maya,LIVETULUM ,936.0,4.2,4.5,4.0,https://www.tripadvisor.com/Hotel_Review-g150813-d7332025-Reviews-LiveTulum-Tulum_Yucatan_Peninsula.html,64
Riviera Maya,HOTEL ARCOIRIS - Updated 2022 Prices &  Reviews,,5.0,4.5,,https://www.tripadvisor.com/Hotel_Review-g150813-d17624836-Reviews-Hotel_ArcoIris-Tulum_Yucatan_Peninsula.html,65
Riviera Maya,CHIRINGUITO TULUM - Updated 2022 Prices &  Hotel Reviews,,3.6,4.0,4.0,https://www.tripadvisor.com/Hotel_Review-g150813-d11761176-Reviews-Chiringuito_Tulum-Tulum_Yucatan_Peninsula.html,66
Isla Mujeres,CASA ALBA -  Lodging Reviews,,5.0,5.0,,https://www.tripadvisor.com/Hotel_Review-g150810-d17632893-Reviews-Casa_Alba-Isla_Mujeres_Yucatan_Peninsula.html,67
Isla Mujeres,VC HOTEL BOUTIQUE -  Guest house Reviews,,5.0,4.5,,https://www.tripadvisor.com/Hotel_Review-g150810-d12426357-Reviews-VC_Hotel_Boutique-Isla_Mujeres_Yucatan_Peninsula.html,68
Isla Mujeres,VILLAS CHACPEL 18 - Prices &  Specialty Inn Reviews,,5.0,5.0,,https://www.tripadvisor.com/Hotel_Review-g150810-d18411945-Reviews-Villas_Chacpel_18-Isla_Mujeres_Yucatan_Peninsula.html,69
Isla Mujeres,CASA FITZ - Prices &  Guest house Reviews,,,5.0,,https://www.tripadvisor.com/Hotel_Review-g150810-d21347191-Reviews-Casa_Fitz-Isla_Mujeres_Yucatan_Peninsula.html,70
Isla Mujeres,CASA AZUL ISLA MUJERES -  Guest house Reviews,,5.0,5.0,3.0,https://www.tripadvisor.com/Hotel_Review-g150810-d12825894-Reviews-Casa_Azul_Isla_Mujeres-Isla_Mujeres_Yucatan_Peninsula.html,71
Isla Mujeres,CASA ALKIMIA OCEANFRONT - Updated 2022 Prices &  B&B Reviews,,4.0,4.0,,https://www.tripadvisor.com/Hotel_Review-g150810-d23048662-Reviews-Casa_Alkimia_Oceanfront-Isla_Mujeres_Yucatan_Peninsula.html,72
Isla Mujeres,CASA ELEGANTE - Prices &  Lodging Reviews,,5.0,5.0,,https://www.tripadvisor.com/Hotel_Review-g150810-d20267975-Reviews-Casa_Elegante-Isla_Mujeres_Yucatan_Peninsula.html,73
Isla Mujeres,CANDE'S APARTMENTS - Prices &  Lodging Reviews,,5.0,5.0,,https://www.tripadvisor.com/Hotel_Review-g150810-d15647046-Reviews-Cande_s_Apartments-Isla_Mujeres_Yucatan_Peninsula.html,74
Isla Mujeres,HOTEL SUENO MAYA ,,3.9,3.5,2.0,https://www.tripadvisor.com/Hotel_Review-g150810-d4931295-Reviews-Hotel_Sueno_Maya-Isla_Mujeres_Yucatan_Peninsula.html,75
Isla Mujeres,MAR Y SOL -  Guest house Reviews,,4.7,3.5,,https://www.tripadvisor.com/Hotel_Review-g150810-d1474236-Reviews-Mar_y_Sol-Isla_Mujeres_Yucatan_Peninsula.html,76
Isla Mujeres,HOTEL MARIA ELENA ,,5.0,4.5,2.0,https://www.tripadvisor.com/Hotel_Review-g150810-d12289033-Reviews-Hotel_Maria_Elena-Isla_Mujeres_Yucatan_Peninsula.html,77
Isla Mujeres,LOLA -  Hotel Reviews,,,5.0,,https://www.tripadvisor.com/Hotel_Review-g150810-d21008067-Reviews-Lola-Isla_Mujeres_Yucatan_Peninsula.html,78
Isla Mujeres,HOTEL CASA ESPANA - Prices &  Reviews,,3.4,3.5,,https://www.tripadvisor.com/Hotel_Review-g150810-d601067-Reviews-Hotel_Casa_Espana-Isla_Mujeres_Yucatan_Peninsula.html,79
Isla Mujeres,SKULL'S LANDING - Prices &  Hotel Reviews,,5.0,5.0,,https://www.tripadvisor.com/Hotel_Review-g150810-d17333506-Reviews-Skull_s_Landing-Isla_Mujeres_Yucatan_Peninsula.html,80
Riviera Maya,MESTIZO GALLERY ,1211.0,4.6,4.5,3.0,https://www.tripadvisor.com/Hotel_Review-g150813-d8679006-Reviews-Mestizo_Gallery-Tulum_Yucatan_Peninsula.html,81
Isla Mujeres,CASA CELESTE - Prices &  Lodging Reviews,,5.0,5.0,,https://www.tripadvisor.com/Hotel_Review-g150810-d19244456-Reviews-Casa_Celeste-Isla_Mujeres_Yucatan_Peninsula.html,82
Riviera Maya,PACHA TULUM ,,4.4,4.5,3.0,https://www.tripadvisor.com/Hotel_Review-g150813-d3622210-Reviews-Pacha_Tulum-Tulum_Yucatan_Peninsula.html,83
Isla Mujeres,CASA DEL SOL -  Guest house Reviews,,5.0,3.5,,https://www.tripadvisor.com/Hotel_Review-g150810-d15384573-Reviews-Casa_del_Sol-Isla_Mujeres_Yucatan_Peninsula.html,84
Isla Mujeres,OYO HOTEL EL CARACOL -  Reviews,,2.8,2.5,,https://www.tripadvisor.com/Hotel_Review-g150810-d1389655-Reviews-OYO_Hotel_El_Caracol-Isla_Mujeres_Yucatan_Peninsula.html,85
Isla Mujeres,CASA KA'AN - Prices &  Lodging Reviews,,1.0,3.5,,https://www.tripadvisor.com/Hotel_Review-g150810-d16814790-Reviews-Casa_Ka_an-Isla_Mujeres_Yucatan_Peninsula.html,86
Isla Mujeres,CASA IXCHEL - Prices &  Guest house Reviews,,5.0,3.5,3.0,https://www.tripadvisor.com/Hotel_Review-g150810-d8287718-Reviews-Casa_Ixchel-Isla_Mujeres_Yucatan_Peninsula.html,87
Isla Mujeres,CASA PALOMA BLANCA HOSTEL -  Reviews,,4.0,4.0,,https://www.tripadvisor.com/Hotel_Review-g150810-d12346111-Reviews-Casa_Paloma_Blanca_Hostel-Isla_Mujeres_Yucatan_Peninsula.html,88
Riviera Maya,HOTEL MUNDO MAYA - Updated 2022 Prices &  Hostel Reviews,706.0,4.7,4.0,,https://www.tripadvisor.com/Hotel_Review-g150813-d4182482-Reviews-Hotel_Mundo_Maya-Tulum_Yucatan_Peninsula.html,89
Riviera Maya,KIN HA TULUM HOTEL ,1292.0,3.7,3.5,3.0,https://www.tripadvisor.com/Hotel_Review-g150813-d1454431-Reviews-Kin_Ha_Tulum_Hotel-Tulum_Yucatan_Peninsula.html,90
Riviera Maya,TULUM NAH - Prices &  Specialty Hotel Reviews,711.0,4.3,5.0,3.0,https://www.tripadvisor.com/Hotel_Review-g150813-d12986752-Reviews-Tulum_Nah-Tulum_Yucatan_Peninsula.html,91
Riviera Maya,HOTEL MANGLEX ,1780.0,4.0,4.0,5.0,https://www.tripadvisor.com/Hotel_Review-g150813-d7253262-Reviews-Hotel_MangleX-Tulum_Yucatan_Peninsula.html,92
Riviera Maya,LO NUESTRO PETITE HOTEL ,752.0,4.1,4.0,2.0,https://www.tripadvisor.com/Hotel_Review-g150813-d1065912-Reviews-Lo_Nuestro_Petite_Hotel-Tulum_Yucatan_Peninsula.html,93
Riviera Maya,NATIVUS GLAMPING TULUM ,2718.0,4.3,4.5,,https://www.tripadvisor.com/Hotel_Review-g150813-d12930791-Reviews-Nativus_Glamping_Tulum-Tulum_Yucatan_Peninsula.html,94
Riviera Maya,HOTEL CARIBENA - Prices &  Reviews,1188.0,5.0,4.5,,https://www.tripadvisor.com/Hotel_Review-g150813-d23277794-Reviews-Hotel_Caribena-Tulum_Yucatan_Peninsula.html,95
Riviera Maya,THE STRABON HOTEL ,747.0,4.7,4.0,3.0,https://www.tripadvisor.com/Hotel_Review-g150813-d15099706-Reviews-The_Strabon_Hotel-Tulum_Yucatan_Peninsula.html,96
Riviera Maya,WISH TULUM ,,4.5,4.0,3.0,https://www.tripadvisor.com/Hotel_Review-g150813-d525239-Reviews-Wish_Tulum-Tulum_Yucatan_Peninsula.html,97
Riviera Maya,CASA BABEL HOSTEL - Prices &  Reviews,1763.0,3.7,4.0,,https://www.tripadvisor.com/Hotel_Review-g150813-d10465266-Reviews-Casa_Babel_Hostel-Tulum_Yucatan_Peninsula.html,98
